ECPRI version,ECPRI Data Format Ecpri Message,Ecpri Payload Length,ecpriPcid,ecpriSeqid,dataDirection,payloadVersion,filterIndex,frameId,SubframeId,SlotId,Symbolid,SectionsID,rb,StartPrb,NumOfPrb,Sampling ,ByteStart,ByteEnd,TimeStamp(s),TimeStamp(us/ns),PacketOffsetTo10ms(ns),PacketOffsetTo10ms(utu),N1,PacketAdvanceToAif(ns)
1,0,1272,128,62080,1,1,0,243,4,1,5,1,0,138,45,9,118281,119540,315965949,314425533,4425533,5438095,755,-253373.3
1,0,1272,128,62336,1,1,0,243,4,1,5,1,0,183,45,9,119595,120854,315965949,314426017,4426017,5438690,755,-252889.3
1,0,1272,128,62592,1,1,0,243,4,1,5,1,0,228,45,9,120909,122168,315965949,314426493,4426493,5439275,755,-252413.3
1,0,1300,0,62848,1,1,0,243,4,1,6,1,0,0,46,9,122223,123510,315965949,314456848,4456848,5476575,755,-257735.3
1,0,1300,0,63104,1,1,0,243,4,1,6,1,0,46,46,9,123565,124852,315965949,314457340,4457340,5477179,755,-257243.3
1,0,1300,0,63360,1,1,0,243,4,1,6,1,0,92,46,9,124907,126194,315965949,314457824,4457824,5477774,755,-256759.3
1,0,1272,0,63616,1,1,0,243,4,1,6,1,0,138,45,9,126249,127508,315965949,314458308,4458308,5478369,755,-256275.3
1,0,1272,0,63872,1,1,0,243,4,1,6,1,0,183,45,9,127563,128822,315965949,314458793,4458793,5478965,755,-255790.3
1,0,1272,0,64128,1,1,0,243,4,1,6,1,0,228,45,9,128877,130136,315965949,314459269,4459269,5479550,755,-255314.3
1,0,1300,128,62848,1,1,0,243,4,1,6,1,0,0,46,9,130191,131478,315965949,314459765,4459765,5480159,755,-254818.3
1,0,1300,128,63104,1,1,0,243,4,1,6,1,0,46,46,9,131533,132820,315965949,314460257,4460257,5480764,755,-254326.3
1,0,1300,128,63360,1,1,0,243,4,1,6,1,0,92,46,9,132875,134162,315965949,314460742,4460742,5481360,755,-253841.3
1,0,1272,128,63616,1,1,0,243,4,1,6,1,0,138,45,9,134217,135476,315965949,314461226,4461226,5481955,755,-253357.3
1,0,1272,128,63872,1,1,0,243,4,1,6,1,0,183,45,9,135531,136790,315965949,314461710,4461710,5482549,755,-252873.3
1,0,1272,128,64128,1,1,0,243,4,1,6,1,0,228,45,9,136845,138104,315965949,314462186,4462186,5483134,755,-252397.3
1,0,1300,0,64384,1,1,0,243,4,1,7,1,0,0,46,9,138159,139446,315965949,314492443,4492443,5520314,755,-257817.4
1,0,1300,0,64640,1,1,0,243,4,1,7,1,0,46,46,9,139501,140788,315965949,314492936,4492936,5520920,755,-257324.4
1,0,1300,0,64896,1,1,0,243,4,1,7,1,0,92,46,9,140843,142130,315965949,314493420,4493420,5521514,755,-256840.4
1,0,1272,0,65152,1,1,0,243,4,1,7,1,0,138,45,9,142185,143444,315965949,314493904,4493904,5522109,755,-256356.4
1,0,1272,0,65408,1,1,0,243,4,1,7,1,0,183,45,9,143499,144758,315965949,314494388,4494388,5522704,755,-255872.4
1,0,1272,0,128,1,1,0,243,4,1,7,1,0,228,45,9,144813,146072,315965949,314494864,4494864,5523289,755,-255396.4
1,0,1300,128,64384,1,1,0,243,4,1,7,1,0,0,46,9,146127,147414,315965949,314495361,4495361,5523900,755,-254899.4
1,0,1300,128,64640,1,1,0,243,4,1,7,1,0,46,46,9,147469,148756,315965949,314495853,4495853,5524504,755,-254407.4
1,0,1300,128,64896,1,1,0,243,4,1,7,1,0,92,46,9,148811,150098,315965949,314496337,4496337,5525099,755,-253923.4
1,0,1272,128,65152,1,1,0,243,4,1,7,1,0,138,45,9,150153,151412,315965949,314496822,4496822,5525695,755,-253438.4
1,0,1272,128,65408,1,1,0,243,4,1,7,1,0,183,45,9,151467,152726,315965949,314497306,4497306,5526290,755,-252954.4
1,0,1272,128,128,1,1,0,243,4,1,7,1,0,228,45,9,152781,154040,315965949,314497782,4497782,5526875,755,-252478.4
1,0,1300,0,384,1,1,0,243,4,1,8,1,0,0,46,9,154095,155382,315965949,314528137,4528137,5564175,755,-257800.5
1,0,1300,0,640,1,1,0,243,4,1,8,1,0,46,46,9,155437,156724,315965949,314528629,4528629,5564779,755,-257308.5
1,0,1300,0,896,1,1,0,243,4,1,8,1,0,92,46,9,156779,158066,315965949,314529113,4529113,5565374,755,-256824.5
1,0,1272,0,1152,1,1,0,243,4,1,8,1,0,138,45,9,158121,159380,315965949,314529597,4529597,5565969,755,-256340.5
1,0,1272,0,1408,1,1,0,243,4,1,8,1,0,183,45,9,159435,160694,315965949,314530082,4530082,5566565,755,-255855.5
1,0,1272,0,1664,1,1,0,243,4,1,8,1,0,228,45,9,160749,162008,315965949,314530558,4530558,5567150,755,-255379.5
1,0,1300,128,384,1,1,0,243,4,1,8,1,0,0,46,9,162063,163350,315965949,314531054,4531054,5567759,755,-254883.5
1,0,1300,128,640,1,1,0,243,4,1,8,1,0,46,46,9,163405,164692,315965949,314531547,4531547,5568365,755,-254390.5
1,0,1300,128,896,1,1,0,243,4,1,8,1,0,92,46,9,164747,166034,315965949,314532031,4532031,5568960,755,-253906.5
1,0,1272,128,1152,1,1,0,243,4,1,8,1,0,138,45,9,166089,167348,315965949,314532515,4532515,5569554,755,-253422.5
1,0,1272,128,1408,1,1,0,243,4,1,8,1,0,183,45,9,167403,168662,315965949,314532999,4532999,5570149,755,-252938.5
1,0,1272,128,1664,1,1,0,243,4,1,8,1,0,228,45,9,168717,169976,315965949,314533475,4533475,5570734,755,-252462.5
1,0,1300,0,1920,1,1,0,243,4,1,9,1,0,0,46,9,170031,171318,315965949,314563781,4563781,5607974,755,-257833.6
1,0,1300,0,2176,1,1,0,243,4,1,9,1,0,46,46,9,171373,172660,315965949,314564274,4564274,5608580,755,-257340.6
1,0,1300,0,2432,1,1,0,243,4,1,9,1,0,92,46,9,172715,174002,315965949,314564758,4564758,5609175,755,-256856.6
1,0,1272,0,2688,1,1,0,243,4,1,9,1,0,138,45,9,174057,175316,315965949,314565242,4565242,5609769,755,-256372.6
1,0,1272,0,2944,1,1,0,243,4,1,9,1,0,183,45,9,175371,176630,315965949,314565726,4565726,5610364,755,-255888.6
1,0,1272,0,3200,1,1,0,243,4,1,9,1,0,228,45,9,176685,177944,315965949,314566202,4566202,5610949,755,-255412.6
1,0,1300,128,1920,1,1,0,243,4,1,9,1,0,0,46,9,177999,179286,315965949,314566699,4566699,5611560,755,-254915.6
1,0,1300,128,2176,1,1,0,243,4,1,9,1,0,46,46,9,179341,180628,315965949,314567191,4567191,5612164,755,-254423.6
1,0,1300,128,2432,1,1,0,243,4,1,9,1,0,92,46,9,180683,181970,315965949,314567675,4567675,5612759,755,-253939.6
1,0,1272,128,2688,1,1,0,243,4,1,9,1,0,138,45,9,182025,183284,315965949,314568159,4568159,5613354,755,-253455.6
1,0,1272,128,2944,1,1,0,243,4,1,9,1,0,183,45,9,183339,184598,315965949,314568644,4568644,5613950,755,-252970.6
1,0,1272,128,3200,1,1,0,243,4,1,9,1,0,228,45,9,184653,185912,315965949,314569120,4569120,5614535,755,-252494.6
1,0,1300,0,3456,1,1,0,243,4,1,10,1,0,0,46,9,185967,187254,315965949,314599475,4599475,5651835,755,-257816.7
1,0,1300,0,3712,1,1,0,243,4,1,10,1,0,46,46,9,187309,188596,315965949,314599967,4599967,5652439,755,-257324.7
1,0,1300,0,3968,1,1,0,243,4,1,10,1,0,92,46,9,188651,189938,315965949,314600451,4600451,5653034,755,-256840.7
1,0,1272,0,4224,1,1,0,243,4,1,10,1,0,138,45,9,189993,191252,315965949,314600935,4600935,5653629,755,-256356.7
1,0,1272,0,4480,1,1,0,243,4,1,10,1,0,183,45,9,191307,192566,315965949,314601420,4601420,5654225,755,-255871.7
1,0,1272,0,4736,1,1,0,243,4,1,10,1,0,228,45,9,192621,193880,315965949,314601896,4601896,5654810,755,-255395.7
1,0,1300,128,3456,1,1,0,243,4,1,10,1,0,0,46,9,193935,195222,315965949,314602392,4602392,5655419,755,-254899.7
1,0,1300,128,3712,1,1,0,243,4,1,10,1,0,46,46,9,195277,196564,315965949,314602884,4602884,5656024,755,-254407.7
1,0,1300,128,3968,1,1,0,243,4,1,10,1,0,92,46,9,196619,197906,315965949,314603369,4603369,5656620,755,-253922.7
1,0,1272,128,4224,1,1,0,243,4,1,10,1,0,138,45,9,197961,199220,315965949,314603853,4603853,5657215,755,-253438.7
1,0,1272,128,4480,1,1,0,243,4,1,10,1,0,183,45,9,199275,200534,315965949,314604337,4604337,5657809,755,-252954.7
1,0,1272,128,4736,1,1,0,243,4,1,10,1,0,228,45,9,200589,201848,315965949,314604813,4604813,5658394,755,-252478.7
1,0,1300,0,4992,1,1,0,243,4,1,11,1,0,0,46,9,202063,203350,315965949,314635168,4635168,5695694,755,-257800.8
1,0,1300,0,5248,1,1,0,243,4,1,11,1,0,46,46,9,203405,204692,315965949,314635660,4635660,5696299,755,-257308.8
1,0,1300,0,5504,1,1,0,243,4,1,11,1,0,92,46,9,204747,206034,315965949,314636145,4636145,5696895,755,-256823.8
1,0,1272,0,5760,1,1,0,243,4,1,11,1,0,138,45,9,206089,207348,315965949,314636629,4636629,5697490,755,-256339.8
1,0,1272,0,6016,1,1,0,243,4,1,11,1,0,183,45,9,207403,208662,315965949,314637113,4637113,5698084,755,-255855.8
1,0,1272,0,6272,1,1,0,243,4,1,11,1,0,228,45,9,208717,209976,315965949,314637589,4637589,5698669,755,-255379.8
1,0,1300,128,4992,1,1,0,243,4,1,11,1,0,0,46,9,210031,211318,315965949,314638085,4638085,5699279,755,-254883.8
1,0,1300,128,5248,1,1,0,243,4,1,11,1,0,46,46,9,211373,212660,315965949,314638582,4638582,5699890,755,-254386.8
1,0,1300,128,5504,1,1,0,243,4,1,11,1,0,92,46,9,212715,214002,315965949,314639066,4639066,5700484,755,-253902.8
1,0,1272,128,5760,1,1,0,243,4,1,11,1,0,138,45,9,214057,215316,315965949,314639550,4639550,5701079,755,-253418.8
1,0,1272,128,6016,1,1,0,243,4,1,11,1,0,183,45,9,215371,216630,315965949,314640034,4640034,5701674,755,-252934.8
1,0,1272,128,6272,1,1,0,243,4,1,11,1,0,228,45,9,216685,217944,315965949,314640511,4640511,5702260,755,-252457.8
1,0,1300,0,6528,1,1,0,243,4,1,12,1,0,0,46,9,217999,219286,315965949,314670861,4670861,5739554,755,-257784.8
1,0,1300,0,6784,1,1,0,243,4,1,12,1,0,46,46,9,219341,220628,315965949,314671354,4671354,5740160,755,-257291.8
1,0,1300,0,7040,1,1,0,243,4,1,12,1,0,92,46,9,220683,221970,315965949,314671838,4671838,5740755,755,-256807.8
1,0,1272,0,7296,1,1,0,243,4,1,12,1,0,138,45,9,222025,223284,315965949,314672322,4672322,5741349,755,-256323.8
1,0,1272,0,7552,1,1,0,243,4,1,12,1,0,183,45,9,223339,224598,315965949,314672806,4672806,5741944,755,-255839.8
1,0,1272,0,7808,1,1,0,243,4,1,12,1,0,228,45,9,224653,225912,315965949,314673282,4673282,5742529,755,-255363.8
1,0,1300,128,6528,1,1,0,243,4,1,12,1,0,0,46,9,225967,227254,315965949,314673779,4673779,5743140,755,-254866.8
1,0,1300,128,6784,1,1,0,243,4,1,12,1,0,46,46,9,227309,228596,315965949,314674271,4674271,5743744,755,-254374.8
1,0,1300,128,7040,1,1,0,243,4,1,12,1,0,92,46,9,228651,229938,315965949,314674755,4674755,5744339,755,-253890.8
1,0,1272,128,7296,1,1,0,243,4,1,12,1,0,138,45,9,229993,231252,315965949,314675240,4675240,5744935,755,-253405.8
1,0,1272,128,7552,1,1,0,243,4,1,12,1,0,183,45,9,231307,232566,315965949,314675724,4675724,5745530,755,-252921.8
1,0,1272,128,7808,1,1,0,243,4,1,12,1,0,228,45,9,232621,233880,315965949,314676200,4676200,5746115,755,-252445.8
1,0,1300,0,8064,1,1,0,243,4,1,13,1,0,0,46,9,233935,235222,315965949,314706604,4706604,5783475,755,-257718.9
1,0,1300,0,8320,1,1,0,243,4,1,13,1,0,46,46,9,235277,236564,315965949,314707096,4707096,5784080,755,-257226.9
